generation,hypervolume,pareto_size,physical_archive_size,HV_change,HV_percent_change
10,0.04177720937338821,89,84,0.0,0.0
20,0.042167197169137825,386,349,0.0003899877957496134,0.9334941265800145
30,0.042251432400482236,627,562,8.423523134441085e-05,0.19976483380323984
40,0.04227311319842321,921,824,2.168079794097333e-05,0.0513137583963319
50,0.04231878504326606,1208,1031,4.567184484285253e-05,0.10803993694166181
60,0.04231914046618313,1464,1213,3.5542291706991413e-07,0.0008398703240430905
70,0.04232784832765122,1732,1391,8.707861468087996e-06,0.020576650121340023
80,0.04232820375056829,2047,1591,3.5542291706991413e-07,0.0008396904900953572
90,0.04232882574067315,2381,1790,6.21990104858472e-07,0.0014694460188424685
100,0.04232900345213168,2695,1983,1.7771145853495707e-07,0.00041983555041369414
110,0.042329447730778014,3003,2168,4.442786463304538e-07,0.0010495844695146417
120,0.04232953658650728,3317,2329,8.885572926747853e-08,0.00020991469067421775
130,0.04232980315369508,3639,2505,2.665671877954967e-07,0.0006297427500800978
140,0.042329892009424344,3923,2629,8.885572926747853e-08,0.00020991292812855278
150,0.04232998086515361,4242,2779,8.885572926747853e-08,0.0002099124874810343
160,0.04232998086515361,4490,2901,0.0,0.0
170,0.04233006972088288,4793,3000,8.885572926747853e-08,0.0002099120468557203
180,0.04233006972088288,5091,3000,0.0,0.0
190,0.04233015857661214,5387,3000,8.885572926053964e-08,0.00020991160620820182
200,0.042330336288070675,5642,3000,1.7771145853495707e-07,0.00041982233118798007
210,0.04233042514379994,5921,3000,8.885572926747853e-08,0.00020991028435446424
220,0.04233042514379994,6198,3000,0.0,0.0
230,0.04233042514379994,6453,3000,0.0,0.0
240,0.04233042514379994,6699,3000,0.0,0.0
250,0.04233042514379994,6971,3000,0.0,0.0
260,0.04233042514379994,7215,3000,0.0,0.0
270,0.04233042514379994,7477,3000,0.0,0.0
280,0.04233042514379994,7747,3000,0.0,0.0
290,0.04233042514379994,8002,3000,0.0,0.0
300,0.04233042514379994,8302,3000,0.0,0.0
