Output,Variable,PRCC,Abs_PRCC
Carbon_kgCO2e,P_f_prefab_level,-0.9201561183194298,0.9201561183194298
Carbon_kgCO2e,opening_complexity_index,0.7505181764616947,0.7505181764616947
Carbon_kgCO2e,R_p_panel_rationalisation,-0.04891527866135943,0.04891527866135943
Carbon_kgCO2e,R_t_truss_rationalisation,0.04634067508256697,0.04634067508256697
Cost_NZD,opening_complexity_index,0.7686934407101201,0.7686934407101201
Cost_NZD,P_f_prefab_level,0.25942906190020104,0.25942906190020104
Cost_NZD,R_t_truss_rationalisation,0.029049580718807807,0.029049580718807807
Cost_NZD,R_p_panel_rationalisation,-0.018960952242211008,0.018960952242211008
Time_hours,P_f_prefab_level,-0.6516676362364198,0.6516676362364198
Time_hours,opening_complexity_index,0.5437763367092052,0.5437763367092052
Time_hours,R_p_panel_rationalisation,-0.15352639382116293,0.15352639382116293
Time_hours,R_t_truss_rationalisation,-0.051600881434154595,0.051600881434154595
