Variable,Symbol,Type,Values,Baseline_S2,Unit,Meaning,Why_included
R_p_panel_rationalisation,R_p,Continuous optimiser variable,"(0.0, 1.0)",0.0,dimensionless,Panel rationalisation intensity; higher value means fewer/larger/more standardised panel families,"Captures panelisation trade-off between factory repetition, site labour reduction, transport/lifting constraints, and material/handling penalties"
R_t_truss_rationalisation,R_t,Continuous optimiser variable,"(0.0, 1.0)",0.0,dimensionless,Truss rationalisation intensity; higher value means fewer/more standardised truss span families,"Captures truss repetition benefits against span mismatch, connection/detailing, self-weight, and lifting penalties"
opening_complexity_index,OC,Continuous actionable detailing variable,"(0.8, 1.3)",1.0,dimensionless,Design-for-manufacture/detailing rationalisation index with fixed number of openings,"Captures standardisation of lintels, jamb studs, trimming, service penetrations, CNC cutting and installation difficulty without changing the architectural opening count"
P_f_prefab_level,Pf,Continuous optimizer variable,"(0.5, 0.9)",0.72,fraction,Prefabrication level (factory vs site share),"Controls factory/site trade-off, labour saving, A5 carbon, time"
max_panel_width_m,"W_panel,max",Hard feasibility constraint,2.4,All panel schemes currently satisfy,m,Maximum allowed panel transport/factory width,Prevents unrealistic oversized wall-panel solutions
max_panel_height_m,"H_panel,max",Hard feasibility constraint,3.0,2.7,m,Maximum practical panel height,Represents factory and lifting practicality
max_stud_spacing_mm,"s_stud,max",Hard code-screening constraint,600.0,600.0,mm,Maximum assumed stud spacing,Preliminary structural/code-screening condition
assumed_steel_thickness_mm,t_steel,Fixed project boundary condition,0.75,0.75,mm,Actual case-study CFS section thickness,Taken from project section: F325iT - Imported Section (89 S 41 / 0.75 / G500 / Z275). Fixed because structural section sizing is not optimized.
min_steel_thickness_mm,t_min,Hard screening threshold,0.55,0.75,mm,Minimum permitted CFS thickness for feasibility screening,Prevents unrealistic thin-section assumptions if thickness is later varied; not an active design variable in the current model.
max_lift_mass_kg,"m_lift,max",Hard site handling constraint,2000.0,computed,kg,Maximum estimated panel lift mass,Screens panel options for site handling practicality
min_factory_repetition_score,"R_factory,min",Soft constructability constraint,0.65,computed,dimensionless,Minimum factory repetition score,Penalizes inefficient prefabrication with excessive unique families
max_OCI_soft,OCI_max,Soft constructability constraint,1.2,1.0,dimensionless,Maximum preferred opening/detailing complexity,Penalizes detailing complexity that increases site coordination and labour
waikato_weather_downtime_fraction,D_weather,Scenario assumption,0.1,applied to time objective,fraction,Weather downtime allowance,Represents Waikato site productivity risk
