generation,hypervolume,pareto_size,physical_archive_size
10,0.04177720937338821,89,84
20,0.042167197169137825,386,349
30,0.042251432400482236,627,562
40,0.04227311319842321,921,824
50,0.04231878504326606,1208,1031
60,0.04231914046618313,1464,1213
70,0.04232784832765122,1732,1391
80,0.04232820375056829,2047,1591
90,0.04232882574067315,2381,1790
100,0.04232900345213168,2695,1983
110,0.042329447730778014,3003,2168
120,0.04232953658650728,3317,2329
130,0.04232980315369508,3639,2505
140,0.042329892009424344,3923,2629
150,0.04232998086515361,4242,2779
160,0.04232998086515361,4490,2901
170,0.04233006972088288,4793,3000
180,0.04233006972088288,5091,3000
190,0.04233015857661214,5387,3000
200,0.042330336288070675,5642,3000
210,0.04233042514379994,5921,3000
220,0.04233042514379994,6198,3000
230,0.04233042514379994,6453,3000
240,0.04233042514379994,6699,3000
250,0.04233042514379994,6971,3000
260,0.04233042514379994,7215,3000
270,0.04233042514379994,7477,3000
280,0.04233042514379994,7747,3000
290,0.04233042514379994,8002,3000
300,0.04233042514379994,8302,3000
