Discrete_variable,Level,Output,Count,Mean,Std,Min,Max,Mean_vs_global_%
panel_scheme,0,Cost_NZD,400,19718.552262002173,1250.2152274626944,18203.212985531867,23882.616001183593,0.5684904571539029
panel_scheme,1,Cost_NZD,500,19556.290868922126,1216.5407990442097,18147.50390176006,23937.73292956342,-0.2590745255441895
panel_scheme,2,Cost_NZD,600,19605.61072627272,1267.1207423487433,18068.336551453518,24106.533898712492,-0.00753356364155966
panel_scheme,3,Cost_NZD,500,19570.48580480211,1136.3673888706476,18072.569047957324,23288.457565862635,-0.18667756380897904
panel_scheme,0,Carbon_kgCO2e,400,5425.777533389462,92.1058797516104,5265.800038612606,5689.690444208873,0.24453936838344514
panel_scheme,1,Carbon_kgCO2e,500,5417.823300511687,93.91616090569093,5248.705599026587,5701.30948110189,0.09758007896281118
panel_scheme,2,Carbon_kgCO2e,600,5395.671011655054,96.40602628644695,5239.163266837282,5679.7966852627615,-0.31169692856709563
panel_scheme,3,Carbon_kgCO2e,500,5416.91641083005,94.85925984165043,5241.33619993098,5687.18884841421,0.08082474061097411
panel_scheme,0,Time_hours,400,102.32523753661293,8.634959466485574,90.22728917842917,127.29445159780558,1.5595014002666163
panel_scheme,1,Time_hours,500,101.3909429399807,9.173211978584574,88.97971011408559,131.23507221526364,0.6321984623087973
panel_scheme,2,Time_hours,600,100.10966060424764,9.149424602880984,87.66337467528264,129.4756466025774,-0.6394955821194759
panel_scheme,3,Time_hours,500,99.63318567104265,8.727386020978436,88.21264707464374,127.64618719686771,-1.112404883978746
truss_scheme,0,Cost_NZD,400,19533.06606530341,1160.594490384943,18156.689861621726,23882.616001183593,-0.3775255867612404
truss_scheme,1,Cost_NZD,900,19549.712997525807,1211.126978075872,18071.573793138352,23734.425476624077,-0.29262296195875503
truss_scheme,2,Cost_NZD,700,19723.15364790289,1257.0297582337307,18068.336551453518,24106.533898712492,0.5919584292391367
truss_scheme,0,Carbon_kgCO2e,400,5419.854317920054,96.96951441528485,5256.950652410198,5694.163851396035,0.13510436065293785
truss_scheme,1,Carbon_kgCO2e,900,5403.849288736763,91.72589511215578,5239.163266837282,5701.30948110189,-0.16059828623651295
truss_scheme,2,Carbon_kgCO2e,700,5419.539127126539,97.6735064138643,5246.568140150832,5693.667162988102,0.12928101907385692
truss_scheme,0,Time_hours,400,101.46656103092845,9.258246918924872,89.11817018573164,131.23507221526364,0.7072506761943931
truss_scheme,1,Time_hours,900,100.38905974544758,8.811749998033847,88.4352905148275,131.06548468358622,-0.3621872840392837
truss_scheme,2,Time_hours,700,100.81596785633033,9.079850782766925,87.66337467528264,128.32803483119991,0.06152612165368776
