Metric,Mean,Std,Min,Max,CV_%
Final_hypervolume,0.042330282974633114,1.4868407360994904e-07,0.04233006972088288,0.04233042514379994,0.0003512475305186351
IGD_vs_multiseed_reference,4.611631485191462e-05,3.1283944003366465e-06,4.289816622007703e-05,5.064573761423595e-05,6.783704227847174
Final_nondominated_solutions,8201.4,466.3119127794185,7392.0,8502.0,5.6857599041556135
Min_cost_norm,0.9839127443310606,1.9166551961899e-07,0.9839126003283841,0.9839130671615637,1.9479930585643437e-05
Min_carbon_norm,0.9740907070359828,5.95998741206725e-07,0.9740903268704076,0.9740917561944995,6.118513778047047e-05
Min_time_norm,0.932412251241165,3.4030310749447744e-05,0.9323906379554056,0.9324723761160649,0.003649706522425983
Cost_range_norm,0.17187985508767406,3.012941161161814e-05,0.17182643742560477,0.1718978180370575,0.017529344318011817
Carbon_range_norm,0.015138724793000024,3.002041514772541e-05,0.015102686442504343,0.015178769728858121,0.19830213943519545
Time_range_norm,0.15011403152636196,6.900468076858168e-05,0.15000058482924605,0.15017938063920744,0.04596817503796343
